linh_vuc,dataset_name,type_file,link
Giao thông vận tải,"Kế hoạch đào tạo, sát hạch cấp GPLX tháng 12 năm 2022",PDF,https://opendata.thanhhoa.gov.vn/dataset/eee15fc7-291c-4537-a75c-e6b0bc8a7246/resource/ea336e1e-4b46-4d51-89e3-137996a55674/download/ke-hoach-dao-tao-sat-hach-cap-gplx-thang-12-nam-202221_11_2022_15h28p55_signed.pdf
Kinh tế,Cân đối ngân sách địa phương quý 1 năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/4709a73f-d63d-4639-9ca8-6440adde2da8/resource/d5239541-48cc-4149-9bc9-c56e32928f38/download/can-i-ngan-sach-a-phng-quy-1-nm-2019.xls
Kinh tế,Cân đối ngân sách địa phương quý 1 năm 2021,XLS,https://opendata.thanhhoa.gov.vn/dataset/1f92171f-bf41-47cf-883e-0d50b8dad781/resource/4c8c5ac9-01c3-487e-8fae-e58f8d62c90b/download/can-i-ngan-sach-a-phng-quy-1-nm-2021.xls
Kinh tế,Cân đối ngân sách địa phương quý 1 năm 2020,XLS,https://opendata.thanhhoa.gov.vn/dataset/fcf47a0c-a371-4366-9e65-bdac51231c84/resource/f51633c2-dbe6-4e0f-9f87-9ec539a904f1/download/can-i-ngan-sach-a-phng-quy-1-nm-2020.xls
Kinh tế,Ước thực hiện chi ngân sách nhà nước quý 1 năm 2021,XLS,https://opendata.thanhhoa.gov.vn/dataset/be66c933-ba73-45f0-b985-39008562e932/resource/be4a7138-fec8-4232-8196-c015a3126b45/download/c-thc-hin-chi-ngan-sach-nha-nc-quy-1-nm-2021.xls
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2018,XLS,https://opendata.thanhhoa.gov.vn/dataset/799ce029-01b6-49f2-94dd-6f1e688ddd36/resource/0cdd3aa2-768e-43e8-934a-c6aa2e16981f/download/c-thc-hin-thu-ngan-sach-nha-nc-quy-1-nm-2018.xls
Kinh tế,Ước thực hiện thu ngân sách nhà nước quý 1 năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/c5e79e3b-f30e-4ecf-8785-0b65b7df7c2a/resource/242dccd1-5e7e-49a3-aea9-667d51537dcf/download/c-thc-hin-thu-ngan-sach-nha-nc-quy-1-nm-2019.xls
Kinh tế,Ước thực hiện chi ngân sách nhà nước quý 1 năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/60610568-f6a5-47ac-a530-0dc1e6f3b46b/resource/c77084df-da31-46c4-8d90-361172993702/download/c-thc-hin-chi-ngan-sach-nha-nc-quy-1-nm-2019.xls
Kinh tế,Ước thực hiện chi ngân sách nhà nước quý 3 năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/64f4442b-1205-479b-b8eb-26adec284741/resource/c13fb7e6-997e-4885-b950-7bc457ad879e/download/c-thc-hin-chi-ngan-sach-nha-nc-quy-3-nm-2019.xls
Kinh tế,Ước thực hiện chi ngân sách nhà nước quý 1 năm 2020,XLS,https://opendata.thanhhoa.gov.vn/dataset/4ef43560-9bbb-47b5-aa96-f8602d71ab26/resource/57a7bda7-a40e-4e90-98c4-477409b37921/download/c-thc-hin-chi-ngan-sach-nha-nc-quy-1-nm-2020.xls
